Token Snapshot: 0.0.7829347

Serial,Owner,Spender,Name,Image,Attributes
315,"0.0.4641568",null,null,null,null
314,"0.0.1348095",null,null,null,null
313,"0.0.1348095",null,null,null,null
312,"0.0.1348095",null,null,null,null
311,"0.0.725455",null,null,null,null
310,"0.0.1348095",null,null,null,null
309,"0.0.4641568",null,null,null,null
308,"0.0.973559",null,null,null,null
307,"0.0.4958794",null,null,null,null
306,"0.0.725455",null,null,null,null
305,"0.0.4573890",null,null,null,null
304,"0.0.973889",null,null,null,null
303,"0.0.1348095",null,null,null,null
302,"0.0.1468174",null,null,null,null
301,"0.0.512044",null,null,null,null
300,"0.0.836658",null,null,null,null
299,"0.0.1348095",null,null,null,null
298,"0.0.458059",null,null,null,null
297,"0.0.4345772",null,null,null,null
